STOP7,I0.0:P,Boolean,
START,I0.1:P,Boolean,
AVANCA,I0.2:P,Boolean,
RECUA,I0.3:P,Boolean,
FR1,I0.4:P,Boolean,
FR2,I0.5:P,Boolean,
FR3,I0.6:P,Boolean,
FR4,I0.7:P,Boolean,
FR5,I1.0:P,Boolean,
FR6,I1.1:P,Boolean,
SEL_AUTO,I1.2:P,Boolean,
SEL_MANUAL,I1.3:P,Boolean,
RESERVA_I1_4,I1.4:P,Boolean,
RESERVA_I1_5,I1.5:P,Boolean,
SIN_Y7_COMP,I2.0:P,Boolean,
NA_S1_COMP,I2.1:P,Boolean,
NA_S2_COMP,I2.2:P,Boolean,
NA_S3_COMP,I2.3:P,Boolean,
SIN_Y7_M1,I2.4:P,Boolean,
NA_STOP_M1,I2.5:P,Boolean,
SIN_Y7_M2,I2.6:P,Boolean,
SIN_Y7_M3,I2.7:P,Boolean,
NA_STOP_M2,I3.0:P,Boolean,
NA_STOP_M3,I3.1:P,Boolean,
SIN_Y7_M4,I3.2:P,Boolean,
NA_STOP_M4,I3.3:P,Boolean,
SIN_Y7_M5,I3.4:P,Boolean,
NA_STOP_M5,I3.5:P,Boolean,
SENSOR_75_PERCENT,I3.6:P,Boolean,
SENSOR_100_PERCENT,I3.7:P,Boolean,
M1_S4,I4.0:P,Boolean,
M1_S5,I4.1:P,Boolean,
M1_S6,I4.2:P,Boolean,
M2_S7,I4.3:P,Boolean,
M2_S8,I4.4:P,Boolean,
M2_S9,I4.5:P,Boolean,
M3_S10,I4.6:P,Boolean,
M3_S11,I4.7:P,Boolean,
M3_S12,I5.0:P,Boolean,
M4_S13,I5.1:P,Boolean,
M4_S14,I5.2:P,Boolean,
M4_S15,I5.3:P,Boolean,
M5_S16,I5.4:P,Boolean,
M5_S17,I5.5:P,Boolean,
M5_S18,I5.6:P,Boolean,
M5_S19,I5.7:P,Boolean,
S20_COMP,I6.0:P,Boolean,
S21_COMP,I6.1:P,Boolean,
STOP6_GERAL,I6.2:P,Boolean,
RESERVA_I6_5,I6.5:P,Boolean,
RESERVA_I6_6,I6.6:P,Boolean,
RESERVA_I6_7,I6.7:P,Boolean,
RESERVA_I7_0,I7.0:P,Boolean,
RESERVA_I7_1,I7.1:P,Boolean,
RESERVA_I7_2,I7.2:P,Boolean,
RESERVA_I7_3,I7.3:P,Boolean,
RESERVA_I7_4,I7.4:P,Boolean,
RESERVA_I7_5,I7.5:P,Boolean,
RESERVA_I7_6,I7.6:P,Boolean,
RESERVA_I7_7,I7.7:P,Boolean,
NA_STOP_COMP,I6.3:P,Boolean,
RESERVA_I6_4,I6.4:P,Boolean,
KM1,Q0.0,Boolean,
KM2,Q0.1,Boolean,
KM3,Q0.2,Boolean,
KM4,Q0.3,Boolean,
KM5,Q0.4,Boolean,
START_SS_M6,Q0.5,Boolean,
Y1_AVANCA,Q0.6,Boolean,
Y2_RECUA,Q0.7,Boolean,
H1_VERDE,Q1.0,Boolean,
H2_AMARELO,Q1.1,Boolean,
H13_AUTO,Q2.0,Boolean,
H14_MANUAL,Q2.1,Boolean,
H3_AZUL,Q2.3,Boolean,
H4_VERMELHO,Q2.4,Boolean,
H5_VERMELHO,Q2.5,Boolean,
H6_VERMELHO,Q2.6,Boolean,
H7_VERMELHO,Q2.7,Boolean,
H8_VERMELHO,Q3.0,Boolean,
H9_VERMELHO,Q3.1,Boolean,
H10_VERMELHO,Q3.2,Boolean,
H11_VERMELHO,Q3.3,Boolean,
H12_VERMELHO,Q3.4,Boolean,
RESERVA_Q2_2,Q2.2,Boolean,
RESERVA_Q3_5,Q3.5,Boolean,
RESERVA_Q3_6,Q3.6,Boolean,
RESERVA_Q3_7,Q3.7,Boolean,
OK_SISTEMA,M0.0,Boolean,
AUT_LINHA_LIGADA,M0.1,Boolean,
MODO_MANUAL,M0.2,Boolean,
CICLO_RECUO,M0.3,Boolean,
EMERGENCIA,M0.4,Boolean,
ETAPA_GRAFCET,MW2,Unsigned,
